	-	6	0	ь	э	υ	σ	v	/	ç	_	3	d	{	}	á	е	^	j	ù	я	ô	w	]	ò	*	5	θ	ó		l	g	γ	ε	2	7	>	è	%	a	ц	щ	)	<	&	:	œ	?	в	í	ß	û	ю	ѣ	4	д	@	ќ	й	з		б	τ	с	и		і	.	k	ф	8	1	x	ê	ï	є	ъ	«	„	[	c	г	â	т	‑	х	#	“	î	у	é	n	к	ж	…	ы	°	о	z	ë	̀	`	à	½	л	m	e	№	y	h	q	’	""""	м	ú	|	f	ý	н	ö	,	 	́		ü	(	i	ч	b	ι	ο	!	ώ	'	ш	”	§	t	а	=	ä	u	r	љ	¾	п	s	~	p	;	—	ї	ё	»	λ	–	o	·	р	9
l	77	3	3	1	1	0	0	257	0	0	0	12	365	4	0	0	35	0	33	0	9	5	22	3	0	9	4	0	0	0	1119	306	0	0	116	7	0	9	0	2032	0	1	19	4	170	9	0	42	23	0	0	0	0	0	12	7	0	0	5	14	1	7	0	15	24	0	0	190	27	4	4	43	111	2	0	0	0	4	0	185	542	3	4	4	0	1	130	1	0	10	48	825	6	4	47	1	0	10	131	0	0	0	30	0	12	507	4451	0	50	189	121	96	34	7	0	0	285	0	27	4	398	4601	0	0	2	8	1462	4	404	0	0	120	0	408	1	0	0	516	35	1	5	695	580	0	0	17	1582	0	308	29	14	0	0	67	0	8	555	0	9	7
g	8	0	2	0	2	0	0	13	0	4	0	5	102	1	0	0	1	0	5	0	1	0	9	2	0	2	1	0	0	0	129	41	0	0	42	0	0	6	0	426	0	0	6	2	78	4	0	10	2	0	1	1	1	0	2	1	0	0	7	1	0	1	0	2	0	0	0	48	8	0	1	9	0	0	1	0	0	0	0	62	46	0	5	0	0	1	71	2	1	2	64	576	1	0	11	0	0	2	35	0	0	0	0	0	0	44	922	0	2	29	10	0	11	1	0	0	11	0	0	0	109	382	0	0	3	3	253	2	22	0	0	25	0	2	0	0	0	260	2	1	1	191	505	0	0	1	188	0	16	6	3	0	0	20	0	2	219	0	0	2
γ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ε	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	308	578	706	3	34	0	0	4	0	0	0	2812	3	0	211	0	113	0	0	0	64	0	0	1222	0	14	558	0	0	0	6	14	0	0	1116	488	59	0	3	5	4	4	347	4	1	5	0	3	220	0	0	0	20	0	1313	143	0	0	39	29	0	75	0	254	184	0	0	700	0	45	577	738	4	0	0	0	0	66	0	12	28	557	0	120	0	30	1	0	0	62	0	28	122	13	180	25	0	449	0	0	0	0	0	0	84	16	206	3	0	1	1	0	3	168	0	0	1	0	185	0	603	3797	0	0	0	8	3	62	5	0	0	8	0	0	8	0	0	14	186	0	0	1	161	0	1	149	50	0	5	2358	73	0	1	6	0	222	1	0	128	459
7	89	237	228	1	38	0	0	1	1	0	0	395	1	0	95	0	93	0	0	0	41	0	0	528	0	6	210	0	0	0	0	0	0	0	192	269	14	0	1	0	3	1	253	0	1	1	0	1	176	0	0	0	17	0	230	78	0	0	6	25	0	52	0	175	119	0	0	354	0	12	285	334	2	0	0	0	0	42	0	4	0	504	0	83	0	26	1	0	0	48	0	4	74	12	120	13	0	223	0	0	0	0	0	0	43	1	1	6	0	0	0	0	0	86	0	0	0	0	126	0	341	2303	0	0	0	5	1	48	0	0	0	0	0	0	7	0	0	1	130	0	0	1	0	0	0	106	1	0	2	9	63	0	0	4	0	456	0	0	57	266
>	51	0	1	1	3	0	0	1	0	0	0	0	0	2	5	0	50	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	80	0	0	0	1	0	2	35	0	4	0	4	96	0	0	0	2	0	1	32	0	0	3	9	0	12	0	58	59	0	0	81	0	2	0	2	0	0	0	0	0	1	0	3	1	14	0	24	0	12	0	0	0	21	0	2	34	11	0	9	0	73	0	0	0	0	0	0	35	0	0	0	4	1	0	0	8	21	0	0	0	0	60	0	86	698	0	0	0	2	1	17	0	0	0	13	0	0	1	0	0	0	90	0	0	0	0	0	0	61	0	0	0	2	2	0	0	2	0	13	1	0	34	3
è	0	0	0	0	0	0	0	4	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	8	11	0	0	2	0	0	0	0	3	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0	0	0	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	0	16	155	0	0	1	0	0	0	0	0	0	0	0	0	0	37	133	0	0	0	0	8	0	4	0	0	3	0	0	0	0	0	9	0	0	0	1	132	0	0	0	89	0	1	0	0	0	0	2	0	1	2	0	0	0
%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
a	139	7	1	1	4	0	0	650	0	12	0	13	1260	7	0	0	45	0	59	0	14	1	27	2	0	7	5	0	0	0	1466	512	0	0	60	5	0	38	0	1767	1	0	34	4	286	12	0	108	62	0	0	0	3	0	6	21	0	0	11	19	0	25	0	58	63	1	0	320	38	0	2	33	124	6	4	0	0	1	0	212	1106	21	3	45	0	9	109	2	12	28	109	2965	31	8	44	8	0	67	145	17	0	0	2	0	11	1668	3188	0	74	534	152	9	69	25	0	0	290	0	58	0	888	5419	0	0	0	7	3204	9	470	0	0	264	0	30	4	0	0	2257	34	1	0	1388	2266	0	0	66	2461	0	680	37	19	1	0	87	0	33	1020	0	31	4
ц	921	5	0	3567	292	0	0	11	0	0	0	14	8	2	5	0	34376	0	2	0	2250	0	0	35	0	29	5	0	0	0	2	3	0	0	29	3	6	0	0	4	222	113	801	5	1	489	0	635	8274	0	0	0	1336	0	5	1203	0	0	2996	3667	0	1298	0	6572	21141	0	5	8831	0	482	4	46	27	0	0	0	3	65	3	20	7	1703	0	8321	0	1300	0	11	0	10173	0	2	6253	416	354	9208	0	16969	0	0	0	0	0	0	8653	14	2	0	0	0	0	0	149	7802	0	0	3	0	7896	0	16833	53456	1	0	0	146	15	562	12	0	0	1350	0	2	191	2	0	2	26483	0	0	1	3	0	0	4249	5	0	6	917	516	0	1	413	0	718	2	0	7531	4
щ	195	0	0	2700	96	0	0	1	1	0	0	1	0	1	2	0	49335	0	0	0	2985	0	0	3	0	6	2	0	0	0	1	0	0	0	2	2	0	0	0	1	337	1234	35	2	0	333	0	273	2645	0	0	0	1945	0	2	2052	0	0	6287	372	0	1998	0	10983	31776	0	0	2332	0	24	2	2	0	0	0	0	0	25	1	1	0	3100	0	10265	0	2687	0	0	0	5493	0	0	5663	260	160	2088	0	6453	0	0	0	0	0	0	5084	0	6	0	0	0	0	0	56	6000	0	0	0	0	19979	0	5204	38501	0	0	0	39	4	781	0	0	0	517	0	0	422	0	0	0	17513	0	0	1	0	0	0	2293	4	0	0	282	123	0	425	119	0	77	2	0	2155	1
)	414	146	116	2	150	0	0	12	0	0	0	317	4	1	32	0	527	0	2	0	251	0	0	245	0	26	218	0	0	0	5	0	0	0	557	156	5	0	0	9	21	9	10	2	1	114	0	15	810	0	0	0	37	0	232	383	0	0	10	200	0	276	0	627	844	2	0	3806	1	53	163	610	13	0	0	0	3	142	1	16	1	176	0	652	0	95	1	0	0	304	0	0	462	66	41	143	0	1072	0	0	0	0	0	0	245	4	6	0	0	3	0	1	28	320	0	0	1	0	1064	0	2335	10875	0	0	0	37	44	365	2	0	0	20	0	1	32	0	0	0	858	0	0	4	0	0	0	769	2	0	0	168	254	0	1	17	0	500	2	0	331	141
<	9	14	12	9	0	0	0	0	0	0	0	40	0	0	2	0	103	0	0	0	13	0	0	0	0	0	16	0	0	0	0	1	0	0	58	14	238	0	0	0	3	0	0	80	0	0	0	3	41	0	0	0	4	0	29	29	0	0	5	10	0	30	0	92	125	0	0	30	1	2	15	64	0	0	0	0	0	1	0	0	0	18	0	51	0	7	0	0	0	22	0	0	77	6	15	37	0	100	0	0	0	0	0	0	54	2	0	0	0	1	0	0	3	42	0	0	0	0	88	0	2	51	0	0	0	0	1	20	0	0	0	0	0	0	4	0	0	0	149	0	0	0	1	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	85	12
&	0	1	1	0	0	0	0	0	0	0	0	1421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	2085	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
:	4031	2	4	29	872	0	0	82	2	0	0	8	33	7	0	0	3135	0	33	0	1368	1	3	1	0	5	13	0	0	0	97	17	0	0	14	3	0	0	0	65	53	55	37	7	1	1	0	0	3485	0	0	0	111	0	15	1820	0	0	58	981	0	1090	0	2696	1837	0	0	97	8	127	6	52	158	0	0	0	2	4866	132	19	37	750	0	3217	0	426	1	8	0	1422	2	20	1959	320	48	807	0	5831	5	0	0	0	0	0	924	62	53	0	2	10	14	3	1908	1546	0	0	5	0	5004	0	56	43157	0	0	0	2	109	1262	17	0	0	4	0	11	101	0	0	17	3489	1	0	16	18	0	0	2574	26	0	22	0	5292	0	5	0	0	1073	36	1	1360	2
œ	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
?	8088	31	21	56	797	0	0	29	0	0	0	73	7	14	0	0	3885	0	10	0	2089	0	1	20	0	21	40	0	0	0	23	1	0	0	135	31	12	0	0	32	55	44	95	6	2	3	0	142	3332	0	0	0	81	0	51	2438	0	0	72	987	0	866	0	2310	2383	4	0	2770	0	169	30	97	39	0	0	0	4	141	5	199	19	793	0	4133	0	529	0	36	0	1693	0	16	2341	283	62	1017	0	6105	1	0	0	0	0	0	1135	23	35	1	0	11	8	3	657	1319	0	1	1	0	5570	0	320	63353	0	0	0	240	66	1467	4	0	0	225	0	10	116	1	0	4	5952	0	0	12	1	0	0	2574	11	0	7	3	5347	0	12	1722	0	9409	25	0	1487	39
в	6536	45	101	57920	8265	0	0	119	11	0	0	75	9	37	23	2	410001	0	2	0	64607	5	1	21	1	150	67	0	1	0	19	3	0	0	132	125	71	0	0	24	7839	9094	703	76	3	3249	0	3673	68725	0	0	0	29698	1	62	99055	1	3	39080	50570	0	20189	0	229775	263509	18	49	32109	0	1306	388	707	260	0	0	2	328	909	28	104	15	47869	0	162775	0	30446	0	58	1	70291	2	64	72622	16975	1916	103702	0	374332	1	0	1	1	1	0	156327	27	22	5	0	10	5	1	716	82194	0	1	4	0	168720	0	74326	486558	5	0	0	724	697	44509	5	0	0	5651	0	49	57789	2	0	17	307356	0	0	5	12	0	0	49871	11	0	29	3379	1786	0	8935	1470	0	2523	22	0	179704	64
í	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ß	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
û	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ю	2829	9	6	5641	1208	0	0	21	3	0	0	15	12	19	2	0	25559	0	1	0	9364	0	0	5	0	30	11	0	0	0	7	3	0	0	35	11	8	0	0	21	1147	10233	266	12	0	1400	0	1251	18714	0	0	0	4172	0	9	20555	0	0	6826	4197	0	20899	0	20396	36650	2	0	13532	0	901	23	74	31	0	0	0	15	460	6	32	13	5225	0	27232	0	3360	0	14	0	7692	0	13	11275	3544	937	1968	0	27839	0	0	0	0	0	0	12103	37	12	0	0	1	3	0	373	11992	0	0	7	0	16002	0	28622	133666	0	0	0	219	44	8286	8	0	0	2062	0	3	4722	1	0	2	18405	0	0	2	9	0	0	11414	6	0	17	1519	1390	0	31	643	0	2035	12	0	10021	9
ѣ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	138	150	253	1	33	0	0	21	2	0	0	169	16	0	166	0	131	0	1	0	30	0	2	617	0	6	153	0	0	0	98	1	0	0	160	136	28	0	0	8	1	1	248	0	12	2	0	5	189	0	0	0	19	0	170	82	0	0	14	45	0	43	0	216	121	1	0	395	2	30	208	272	2	0	0	0	0	50	0	9	29	285	0	107	0	21	0	0	0	50	0	22	74	13	145	13	0	280	0	0	0	0	0	0	65	59	86	8	0	7	6	0	4	78	0	0	6	0	132	0	375	2483	0	0	0	9	9	42	2	0	0	7	0	0	7	0	0	140	136	1	0	16	54	0	0	122	20	0	12	492	69	0	0	2	0	225	3	0	79	146
д	5899	531	6	59099	2933	0	0	12	3	0	0	35	4	10	79	3	251385	0	2	0	55273	0	0	10	0	52	9	0	2	0	8	1	0	0	48	165	29	0	0	12	11028	4856	403	23	0	1622	0	3487	102845	0	0	0	11573	0	22	18594	1	0	29048	8565	0	22148	0	65970	163108	1	15	23908	0	819	17	108	30	0	0	0	1251	272	15	46	5	46768	0	109222	0	16183	0	29	0	110073	2	30	39134	46915	1891	32978	0	234204	1	0	2	0	0	0	128138	19	3	1	0	2	1	8	545	68449	0	1	4	0	154484	0	55498	309155	8	0	0	255	62	13477	3	0	0	5702	0	47	24093	3	0	5	264255	0	0	1	2	0	0	18500	6	2	16	2762	1062	0	449	1253	0	1058	3	0	106115	6
@	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ќ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
й	6678	16	14	289	1724	0	0	41	7	0	1	39	12	58	5	0	47421	0	3	0	8123	0	1	18	0	47	35	0	1	0	22	6	0	0	62	21	27	0	0	67	2405	602	393	20	3	1323	0	1726	33450	0	0	0	2213	0	37	21754	0	0	3910	8188	0	11142	0	46726	38369	7	3	19932	1	2501	42	197	65	1	0	0	25	646	13	60	42	10818	0	39781	0	3804	0	31	0	16787	1	25	23645	5975	1123	7922	0	53711	3	0	0	0	1	0	13066	61	43	6	0	13	5	1	654	18273	0	0	9	0	35540	0	47637	278339	0	0	0	605	79	12412	16	0	0	4759	0	4	6524	2	0	27	36963	1	0	22	43	0	0	23463	30	1	23	2069	2660	0	129	1070	0	3373	52	0	22340	19
з	2695	6	14	23260	1974	0	0	3	0	0	0	8	2	4	1	3	81501	0	0	0	26186	0	0	3	0	26	15	0	0	0	3	0	0	0	25	1	7	0	0	19	2588	2375	193	6	0	1609	0	935	72592	0	0	0	9200	0	5	44929	0	0	6851	7625	0	21174	0	34472	60528	0	6	9432	0	479	2	44	14	0	0	0	874	227	2	25	2	20728	0	39066	0	9696	0	7	0	30262	0	17	33440	9730	450	29726	0	85307	0	0	0	0	0	0	85969	12	1	5	1	0	2	0	222	47326	0	0	1	0	101899	0	17648	135443	0	0	0	104	23	17175	2	0	0	1223	0	5	6532	1	0	8	259545	1	0	0	7	2	0	16903	5	0	4	989	302	0	237	337	0	554	10	0	40365	1
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
б	1111	3	2	42822	2570	0	0	5	3	0	0	2	2	7	3	2	125447	0	1	0	31831	0	0	7	3	30	1	0	18	0	1	1	0	0	9	0	21	0	0	3	1474	9786	144	11	3	861	0	1181	34188	0	0	0	9685	0	4	51765	0	0	11102	25418	0	7111	0	45145	70414	3	14	8866	0	419	0	12	8	0	0	0	3984	130	4	13	4	22938	0	60282	0	5587	2	14	0	58814	0	6	26238	16918	638	129883	0	139131	0	0	1	0	0	0	132932	6	7	0	0	1	1	0	186	14783	0	0	1	0	54597	0	18615	131312	13	0	0	63	17	7679	2	0	0	1859	0	21	6653	2	0	1	111299	0	0	1	0	0	0	11766	2	0	1	1041	415	0	107	311	0	356	2	0	68040	1
τ	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
с	5299	44	17	150549	6847	0	0	15	2	0	0	110	8	26	7	2	348758	0	3	0	172010	0	0	13	0	72	51	0	21	0	30	2	0	0	144	50	24	0	0	32	5197	7964	876	43	1	4907	0	4707	219719	0	0	0	25752	0	57	98130	0	0	30348	48220	0	56760	0	93060	233854	9	21	39073	1	3338	67	291	27	0	0	2	828	534	13	60	11	37086	0	445448	0	30174	0	29	0	96054	0	21	177742	24660	2481	54172	0	402713	2	0	1	0	2	0	213926	82	23	0	0	10	7	2	716	122760	0	0	0	1	135056	0	80810	475689	3	0	0	387	60	37390	5	0	0	6197	0	28	26365	3	0	14	287619	1	0	7	7	0	0	99653	22	0	23	4536	1862	0	8930	1747	0	3022	9	0	148919	39
и	15116	73	49	95519	9224	0	0	127	2	0	1	124	47	92	42	1	321185	0	10	0	115182	0	0	51	1	246	94	0	3	0	60	10	0	0	226	75	142	0	0	103	35767	10719	1862	84	5	9775	0	11620	219301	0	0	0	27009	0	72	116786	0	0	59128	102828	0	62467	0	270727	221105	39	5	90771	2	6762	100	495	192	0	0	0	487	2385	78	240	59	67982	0	283438	2	75078	0	135	0	98352	6	50	149447	26501	5294	56322	2	284465	9	0	1	0	5	0	291090	172	76	5	3	12	7	5	2199	180444	0	1	13	1	297798	0	199104	1210947	4	0	0	1945	669	80756	24	0	0	13835	0	43	35697	12	0	21	281858	1	0	25	29	0	0	112411	58	1	55	10125	7056	0	532	4633	0	8210	55	0	105271	53
	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	1	0	0	8	0	0	0	6	0	10	0	29	12	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	15	0	2	0	0	0	7	0	0	15	2	0	2	0	25	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	11	0	0	0	0	21	0	1	60	0	0	0	0	0	9	0	0	0	0	0	0	3	0	0	0	19	0	0	1	0	0	0	12	1	0	0	0	0	0	0	0	0	50	1	0	16	0
і	0	0	0	10	0	0	0	2	0	0	0	0	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	15	0	0	0	3	0	0	10	0	0	4	9	0	2	0	8	10	0	9	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	12	0	2	51	1	0	0	0	22	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	27	0	14	81	0	0	0	0	0	9	0	0	0	6	0	0	2	0	0	0	22	0	0	0	0	0	0	3	0	0	0	0	4	0	0	15	0	0	0	0	9	0
.	30681	1373	636	751	6900	0	0	981	5	2	1	1698	85	241	260	0	29928	0	149	0	17887	0	11	386	0	310	951	0	0	0	342	26	0	0	2244	941	42	0	0	310	520	660	3713	79	7	690	0	99	35144	0	0	0	964	0	1071	18737	0	0	667	8110	0	8472	0	26392	24127	34	3	80434	7	1615	1309	3232	1480	0	0	0	50	4798	34	570	169	8461	1	29622	0	3877	1	20	0	13989	65	129	18726	2883	114	7225	0	74488	5	0	0	1	0	0	10883	260	336	9	1	99	44	19	2690	15964	0	1	23	0	60001	0	2951	430439	0	0	0	1367	2426	8432	63	0	0	107	0	59	1171	0	1	86	45792	0	0	92	58	0	0	27005	110	0	118	55	22061	0	80	1185	0	28461	227	0	15988	746
k	7	0	0	0	1	0	0	4	0	0	0	2	11	0	0	0	0	0	0	0	0	0	4	1	0	3	0	0	0	0	37	5	0	0	5	0	0	0	0	67	0	0	3	0	5	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	10	1	0	0	4	0	0	0	0	0	0	0	12	5	0	0	3	0	0	5	0	0	0	0	53	1	0	2	0	0	3	0	0	0	0	1	0	0	28	71	0	13	15	3	0	2	0	0	0	19	0	0	0	31	93	0	0	1	0	64	0	8	0	0	5	0	0	0	0	0	22	0	0	1	30	56	0	0	2	38	0	12	0	2	0	0	4	0	2	56	0	1	0
ф	181	0	0	2251	66	0	0	6	0	0	0	5	3	0	1	0	12431	0	0	0	1708	0	0	54	0	7	1	0	0	0	0	0	0	0	3	2	2	0	0	1	2148	11	642	1	0	38	0	79	1419	0	0	0	504	0	2	3393	0	0	667	1656	0	634	0	2287	15086	0	0	1629	0	567	1	7	0	0	0	0	2	8	0	10	1	1414	0	4351	0	135	0	0	0	3704	0	4	3044	179	42	1114	0	11961	0	0	0	0	0	0	4686	1	1	0	0	1	0	0	13	5698	0	0	0	0	9380	0	1781	6166	0	0	0	27	5	409	1	0	0	253	0	0	235	0	0	1	14727	0	0	0	0	0	0	339	0	0	3	67	112	0	10	36	0	74	0	0	11455	0
