	-	6	0	ь	э	υ	σ	v	/	ç	_	3	d	{	}	á	е	^	j	ù	я	ô	w	]	ò	*	5	θ	ó		l	g	γ	ε	2	7	>	è	%	a	ц	щ	)	<	&	:	œ	?	в	í	ß	û	ю	ѣ	4	д	@	ќ	й	з		б	τ	с	и		і	.	k	ф	8	1	x	ê	ï	є	ъ	«	„	[	c	г	â	т	‑	х	#	“	î	у	é	n	к	ж	…	ы	°	о	z	ë	̀	`	à	½	л	m	e	№	y	h	q	’	""""	м	ú	|	f	ý	н	ö	,	 	́		ü	(	i	ч	b	ι	ο	!	ώ	'	ш	”	§	t	а	=	ä	u	r	љ	¾	п	s	~	p	;	—	ї	ё	»	λ	–	o	·	р	9
_	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
3	154	287	443	0	36	0	0	35	1	0	0	1221	68	0	209	0	104	0	16	0	46	0	0	798	0	8	316	0	0	0	96	58	0	0	577	244	40	0	1	161	2	3	321	1	114	8	0	17	186	0	0	0	16	0	436	101	0	0	21	26	0	60	0	237	116	0	0	715	0	12	311	537	1	0	0	0	0	63	0	41	140	392	0	118	0	26	1	0	0	61	0	129	87	13	173	20	0	277	0	0	0	0	0	1	81	90	243	8	1	17	10	0	2	99	0	0	12	0	137	0	598	3312	0	0	0	2	101	55	18	0	0	15	0	1	9	0	0	341	159	1	0	59	382	0	0	143	199	0	77	2324	78	0	0	10	0	249	99	0	85	304
d	38	3	2	0	1	0	0	180	0	0	0	9	164	1	0	0	23	0	37	1	1	1	15	0	0	2	7	0	0	0	421	106	0	0	120	2	1	10	0	942	0	0	19	4	159	1	1	29	6	0	0	1	0	0	3	0	0	0	8	0	0	2	0	7	5	0	0	101	21	0	4	16	59	6	0	0	0	0	0	90	374	3	1	4	0	1	152	0	1	0	101	740	5	0	13	0	0	5	54	0	0	0	11	0	1	689	3032	0	12	80	23	70	16	2	0	0	80	0	0	1	218	2531	0	0	3	2	990	0	146	0	0	50	0	207	0	0	0	381	7	2	0	661	611	0	0	2	836	0	243	4	5	0	1	30	0	5	655	0	2	1
{	2	90	87	0	4	0	0	2	0	0	0	208	3	0	140	0	47	0	0	0	2	0	0	0	0	1	96	0	0	0	3	1	0	0	208	93	0	0	0	1	3	2	0	0	0	0	0	0	34	0	0	0	7	0	163	38	0	0	1	9	0	28	0	48	40	0	0	6	0	5	90	212	0	0	0	0	0	0	0	0	0	26	0	34	0	2	0	0	0	20	0	0	32	0	0	7	0	61	0	0	0	0	0	0	51	2	0	0	0	0	0	0	29	39	0	0	0	0	23	0	0	35	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	1	81	0	0	0	1	0	0	34	0	0	0	0	0	0	0	0	0	0	2	0	52	89
}	200	0	0	0	6	0	0	4	0	0	0	0	0	0	0	0	82	0	0	0	4	0	0	0	0	3	0	0	0	0	7	0	0	0	1	1	0	0	0	0	0	1	3	0	0	1	0	0	78	0	0	0	1	0	0	34	0	0	1	19	0	24	0	71	93	0	0	31	0	1	0	0	29	0	0	0	1	0	0	0	0	18	0	62	0	7	0	0	0	30	0	0	44	12	0	22	0	131	0	0	0	0	0	0	22	0	0	0	0	0	0	0	7	26	0	0	0	0	86	0	35	880	0	0	0	1	5	20	0	0	0	0	0	0	4	0	0	0	84	0	0	0	0	0	0	55	0	0	1	1	4	0	0	0	0	0	0	0	42	0
á	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	19	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0
е	20263	60	71	144580	11271	0	0	164	6	0	0	106	33	99	92	5	413741	0	20	0	140949	0	4	40	0	205	94	0	4	0	82	19	0	0	207	78	81	0	0	110	27772	32579	2043	61	1	9629	0	16199	226367	0	0	0	32900	0	91	194300	0	0	93440	89125	0	107316	0	326658	314471	14	24	96398	4	4632	160	478	227	3	0	0	371	2192	60	247	85	150126	0	378250	2	45480	0	119	0	128743	4	102	151042	57971	5976	83460	0	445511	9	0	3	1	1	0	333521	179	85	3	2	18	15	5	2268	217911	0	0	10	1	546667	0	214371	1297980	6	0	0	1673	308	81290	32	0	0	16519	0	78	57305	8	0	35	264670	1	0	24	45	1	1	140201	50	1	72	10976	6663	0	2130	4410	0	9075	59	1	303770	45
^	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
j	1	0	0	0	0	0	0	118	0	0	0	1	26	0	0	0	8	0	2	0	0	68	7	0	0	0	0	0	0	0	57	9	0	0	8	0	0	0	0	226	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7	3	0	0	2	5	0	2	0	0	0	0	3	41	1	0	0	0	0	9	0	0	0	76	152	0	0	3	0	0	0	0	0	0	0	3	0	0	78	606	0	10	11	13	28	1	0	0	0	20	0	1	0	11	507	0	0	0	0	117	0	7	0	0	7	0	99	0	0	0	75	7	0	0	236	191	0	0	1	136	0	30	1	0	0	0	0	0	0	167	0	0	0
ù	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
